Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
M/AM (RL),24.54483230663929,13,14,14,0,0.0,14,11,10,12,8,3300,111,120,11,120,111
D (C),24.082135523613964,10,13,13,3017,6.89,7,8,8,12,6,2250,101,118,8,107,101
"M/AM (RL), ST (C)",27.107460643394933,10,7,7,3387,6.87,10,8,9,8,9,2400,88,105,11,85,88
GK,25.00752908966461,12,9,13,180,6.55,10,11,14,14,2,400,63,75,3,72,63
ST (C),23.42778918548939,14,16,14,2451,6.88,4,9,13,20,9,4000,121,136,14,134,126
"M (LC), AM (C)",23.227926078028748,13,12,9,3536,6.77,7,9,8,11,8,1750,93,115,12,85,96
"D (C), DM, M (C)",23.633127994524298,9,11,10,2781,6.64,6,8,8,8,12,1750,84,120,6,85,89
"M (C), AM (RC)",26.68583162217659,8,12,12,3278,7.05,9,8,11,8,16,1750,88,118,5,72,89
M/AM (R),26.272416153319643,8,10,8,390,6.69,8,7,10,8,3,750,69,69,5,46,65
D (C),24.03832991101985,15,15,12,3520,6.72,13,10,13,13,11,1800,92,114,11,85,95
AM (RL),23.575633127994525,10,13,15,1813,7.08,5,8,11,5,5,2500,87,95,14,72,86
"D (C), DM, M/AM (C)",25.78507871321013,13,12,13,3572,6.7,10,11,15,11,3,2150,107,110,10,107,107
WB/M/AM (RL),24.435318275154003,8,12,11,3347,6.84,5,14,11,12,5,4250,117,140,14,134,119
GK,23.67419575633128,15,15,11,4220,6.97,12,14,12,10,6,500,78,90,6,46,78
"M (L), AM (RLC)",25.806981519507186,16,15,16,3050,7.01,11,13,13,16,4,4000,120,125,12,125,120
ST (C),26.409308692676248,16,15,13,3527,6.97,10,14,17,13,5,2900,108,124,10,85,110
D/WB (L),25.12251882272416,12,13,12,367,6.67,13,11,12,8,7,3900,118,122,17,160,118
ST (C),29.404517453798768,12,8,11,58,6.6,15,10,20,10,5,1050,81,84,10,86,81
M (C),25.869952087611225,9,18,12,2743,7.12,8,11,12,16,14,2450,104,115,11,104,104
M/AM (C),22.973305954825463,11,13,13,131,6.7,10,9,11,12,10,1300,81,100,12,86,81
"WB (R), M/AM (RL)",22.431211498973305,14,12,13,536,6.89,9,13,10,11,11,4250,126,136,20,158,129
AM (RLC),24.082135523613964,14,13,12,212,6.83,6,12,17,20,12,1000,75,90,9,86,75
D (C),23.76454483230664,11,15,10,45,6.7,11,11,8,12,10,1650,88,107,12,104,88
"D (LC), WB/M (L)",25.804243668720055,13,2,11,598,6.73,7,10,10,9,10,250,83,84,12,96,83
M (C),25.57700205338809,10,12,13,1250,6.77,17,14,11,7,6,1450,79,89,7,73,79
"AM (RL), ST (C)",22.379192334017795,10,13,20,2283,6.71,15,8,14,8,6,2250,100,125,16,104,104
"AM (RL), ST (C)",21.31690622861054,13,13,20,1928,6.7,12,14,11,13,5,5000,131,153,14,173,142
"DM, M (C)",20.15605749486653,14,12,11,0,0.0,6,11,11,10,12,1250,80,114,12,94,85
AM (LC),22.49965776865161,12,12,12,2752,6.94,9,10,9,14,6,3850,114,132,10,140,114
GK,24.503764544832308,8,14,13,0,0.0,3,10,10,8,11,1000,65,85,7,91,66
ST (C),20.974674880219027,13,14,9,863,6.74,12,10,8,14,6,500,65,88,13,86,65
D (C),26.23134839151266,12,13,9,226,7.0,5,11,9,15,10,500,65,70,12,86,64
"D (C), DM, M (C)",21.39356605065024,16,13,13,2194,6.87,12,14,15,12,6,3500,110,136,14,125,121
AM (RL),20.774811772758383,11,2,10,0,0.0,7,8,13,14,10,2250,94,115,18,185,94
GK,20.815879534565365,12,16,12,5190,6.81,10,12,20,11,7,2000,104,125,8,107,106
ST (C),20.522929500342233,18,15,11,2727,7.0,13,11,14,12,7,4000,120,141,14,116,127
"AM (L), ST (C)",20.18343600273785,11,2,10,2430,7.15,11,12,9,12,6,2100,92,139,8,73,100
M/AM (C),22.26420260095825,10,14,14,73,6.83,12,11,11,14,10,1250,75,105,8,73,75
"D (RLC), WB (R)",20.372347707049965,12,11,12,171,6.58,3,13,14,14,7,2100,92,120,10,87,92
D (C),22.064339493497606,12,4,11,2451,6.63,10,9,12,17,7,2350,97,122,3,87,97
"M/AM (RL), ST (C)",21.579739904175224,11,13,11,2778,6.83,14,9,8,14,8,1750,85,110,7,73,89
"M (R), AM (RL)",20.813141683778234,13,14,14,2701,6.92,15,12,10,12,10,4850,127,149,16,178,146
"AM (RL), ST (C)",21.23750855578371,14,14,14,2228,6.81,12,14,12,12,5,2900,108,131,14,87,109
D (C),22.321697467488022,13,14,12,2471,6.95,10,10,13,10,7,3750,113,138,8,125,117
D (RLC),23.967145790554415,13,15,13,3180,6.93,12,14,13,12,6,3900,118,132,12,125,123
GK,22.740588637919235,10,5,12,90,6.6,13,11,12,16,12,3000,98,124,12,94,103
AM (L),19.89322381930185,12,11,11,1337,6.8,7,10,14,18,9,1950,89,110,12,94,93
"D (C), DM",21.127994524298426,9,13,15,1127,6.87,8,11,10,13,10,3650,106,138,14,140,109
"DM, M (C), AM (RC)",19.865845311430526,13,18,10,2237,6.67,13,10,11,10,7,4250,132,175,13,185,140
"AM (L), ST (C)",20.999315537303218,13,13,11,465,6.78,11,12,9,15,5,2750,105,131,14,130,105
ST (C),23.482546201232033,11,16,11,2565,6.7,8,9,10,12,12,4150,123,138,13,158,123
D (C),25.763175906913073,14,15,14,2539,6.78,13,15,14,16,6,5000,128,134,8,158,128
D (C),21.19917864476386,13,13,13,2091,7.0,9,9,13,10,11,4500,133,144,16,158,133
"DM, M (C)",21.117043121149898,13,12,13,266,6.79,11,14,13,17,7,4350,117,142,8,158,117
D (C),31.463381245722108,18,11,10,2659,6.96,13,14,12,14,12,4000,118,124,16,125,118
D/WB (R),30.973305954825463,15,15,15,1529,6.75,12,13,13,15,10,5000,122,138,10,173,117
ST (C),29.34154688569473,10,13,16,2027,6.86,13,12,13,11,11,6300,145,155,18,173,145
D (RC),29.059548254620122,13,12,12,2605,6.93,13,12,12,13,3,4250,125,130,14,130,124
WB/M (RL),28.22450376454483,15,13,13,2597,6.72,13,11,16,13,4,4500,135,136,16,161,134
"DM, M (C)",28.413415468856947,13,15,13,1340,6.93,14,10,15,14,10,5350,131,138,15,173,131
"AM (C), ST (C)",26.65571526351814,12,12,8,2938,7.41,14,10,10,13,5,2650,96,110,14,73,96
D (C),28.3750855578371,13,10,10,52,6.7,8,10,10,10,10,1950,94,99,8,94,94
"DM, M (C)",29.505817932922657,11,15,13,2063,6.87,9,10,12,12,11,2000,90,100,2,91,88
D (C),29.023956194387406,15,14,13,691,6.81,12,13,14,12,4,4000,113,123,11,120,112
D (C),28.12046543463381,15,14,13,3292,6.69,14,12,14,13,9,5000,126,134,13,173,126
"D (RC), DM",27.770020533880903,11,13,10,363,6.67,11,10,12,14,6,3600,112,115,12,125,112
D (C),27.222450376454482,12,13,13,3736,6.99,13,13,13,12,9,5650,138,145,19,134,139
D (C),27.813826146475016,14,14,12,2326,6.77,12,13,14,15,8,4000,120,127,14,134,120
D/WB/M (L),28.043805612594113,15,13,12,2872,6.96,13,11,12,13,7,5000,119,133,11,120,121
GK,25.869952087611225,15,15,13,1290,6.9,8,12,11,12,11,5000,120,140,13,130,122
ST (C),27.28542094455852,10,10,13,387,6.58,11,12,10,10,11,2500,105,110,11,130,105
GK,26.95687885010267,12,11,12,4410,6.76,12,8,12,13,5,3000,108,115,8,107,108
ST (C),26.302532511978097,12,13,14,89,7.2,14,10,12,8,12,4500,125,132,17,173,125
"DM, M/AM (C)",25.900068446269678,13,15,13,1956,7.01,13,11,13,11,5,4250,117,125,11,120,119
"DM, M (C)",28.046543463381244,15,16,13,2119,7.18,14,14,14,13,7,4250,130,135,14,130,131
D/WB (R),25.078713210130047,14,14,12,985,6.75,10,9,12,8,10,4050,121,128,15,173,121
"D (C), DM, M (C)",25.492128678986994,13,14,13,3510,6.93,13,12,12,12,14,5000,123,155,13,134,129
"M (R), AM (RC), ST (C)",24.164271047227928,14,13,12,324,6.61,10,11,10,12,8,2000,96,105,10,94,96
D/WB (L),24.44079397672827,13,13,12,2482,6.85,11,10,13,11,7,4000,118,130,14,125,122
"DM, M/AM (C)",24.238193018480494,14,14,14,1905,6.81,13,10,14,13,6,5250,139,155,18,185,146
D/M/AM (L),25.27857631759069,15,14,12,1542,6.73,11,13,9,11,8,4500,115,140,14,134,120
"M (C), AM (RLC)",25.39082819986311,13,14,14,935,6.86,15,9,13,20,7,3500,110,120,7,120,111
ST (C),26.439425051334702,15,14,14,1789,6.45,12,10,12,13,4,4750,125,130,13,173,129
D/WB/M (R),25.05407255304586,15,16,14,241,6.62,12,13,12,8,7,3250,103,130,12,161,103
GK,23.627652292950035,15,14,15,180,7.2,12,17,14,15,2,4250,117,135,18,161,118
"D (LC), DM",23.378507871321013,15,14,14,2121,6.97,12,13,14,15,5,5650,143,158,19,185,143
D (RLC),25.127994524298426,10,16,16,2762,6.99,10,9,14,15,6,4000,120,130,14,125,122
D (C),23.241615331964407,12,15,12,3420,6.81,12,13,13,8,10,5450,120,145,10,173,130
"D/WB (R), M/AM (RL)",23.378507871321013,12,14,14,1851,6.93,11,14,12,16,9,2750,119,131,20,147,124
M/AM (C),22.765229295003422,11,13,12,904,6.89,11,11,10,11,6,3250,108,125,12,120,108
"DM, M/AM (C)",25.76865160848734,14,15,14,137,6.64,13,12,13,15,5,5000,121,135,10,173,121
GK,24.386036960985628,12,4,10,360,7.0,10,10,11,18,10,2000,109,130,15,117,110
D (C),24.28747433264887,15,14,13,3414,6.74,11,14,10,10,5,2500,105,125,7,130,114
"AM (L), ST (C)",22.60369609856263,14,14,14,2974,7.03,8,13,12,12,8,3250,127,139,16,120,127
"DM, M (C)",25.746748802190282,14,14,13,1274,6.77,10,15,13,7,5,3700,109,115,12,120,109
GK,22.105407255304584,13,16,12,3330,6.67,14,12,16,8,6,3900,118,140,15,94,119
"AM (R), ST (C)",23.865845311430526,14,15,12,1890,7.07,10,11,10,10,9,2500,102,110,8,110,102
M/AM (RL),21.075975359342916,13,16,13,2456,6.7,12,9,12,12,5,4850,127,146,15,173,127
GK,21.672826830937716,14,15,18,120,6.4,12,14,13,12,2,2000,105,135,13,158,105
D/WB (RL),22.305270362765228,15,13,13,1704,6.9,12,10,13,12,8,4000,120,140,17,125,120
D (C),21.21286789869952,15,16,13,3724,7.05,10,14,10,8,5,2750,106,144,12,80,117
GK,20.54757015742642,11,10,12,4320,6.72,16,10,11,12,6,1750,75,118,3,46,87
"D (C), WB/M (R)",23.030800821355236,13,14,15,68,6.7,9,12,10,11,6,4300,113,129,15,178,113
"DM, M (C)",23.304585900068446,13,14,13,568,6.74,11,12,13,9,10,4000,116,135,16,125,117
D (C),24.933607118412045,15,16,16,112,6.47,11,15,10,13,5,2000,110,125,11,120,109
"AM (C), ST (C)",20.462696783025326,10,14,14,1749,7.04,7,12,10,9,10,3600,105,125,13,140,106
GK,20.366872005475702,15,14,14,201,6.77,14,14,11,11,12,2000,85,117,8,110,86
ST (C),20.490075290896645,11,14,12,2943,6.99,11,11,11,12,2,4450,119,131,15,140,119
M/AM (C),19.71252566735113,15,16,18,1200,6.9,11,17,13,16,8,3250,108,123,18,160,116
"DM, M (C)",20.424366872005475,15,15,13,2306,6.63,12,13,13,13,5,2250,122,137,13,173,130
"DM, M (C), AM (LC)",18.817248459958932,16,12,16,11,0.0,11,14,12,12,4,2750,115,135,16,173,115
"D (C), DM, M (C)",23.028062970568104,11,5,10,363,7.0,5,12,12,14,12,1750,100,121,10,117,100
"M (R), AM (RL)",29.078713210130047,13,10,11,557,6.74,5,11,13,9,11,1500,85,85,6,91,85
"D (LC), WB (L)",30.85284052019165,16,14,14,3334,6.9,14,18,15,18,9,5300,139,149,15,173,140
"DM, M (C)",30.76249144421629,13,16,14,2937,6.95,12,12,17,12,7,6750,152,160,17,173,153
"DM, M (C)",31.21423682409309,16,15,14,2937,6.8,13,14,16,13,6,6250,139,152,16,173,142
D (C),31.534565366187543,15,12,13,3168,6.74,14,14,12,10,10,6000,148,148,15,185,142
D (C),31.408624229979466,14,16,12,25,6.6,15,13,12,13,14,3500,108,126,11,125,106
GK,29.073237508555785,16,13,17,3150,6.81,11,10,11,12,5,5250,128,134,15,161,128
D/WB (R),29.371663244353183,13,13,11,622,6.73,10,10,12,11,13,4250,120,130,16,125,117
"D (RC), WB (R)",30.327173169062284,18,16,13,2432,7.01,15,16,13,16,13,5100,132,140,16,173,133
D (C),30.365503080082135,15,15,14,2781,6.86,12,7,14,13,6,5650,141,145,17,173,141
ST (C),28.955509924709105,10,18,13,3050,6.73,10,8,9,9,8,5000,117,135,14,134,117
"AM (RL), ST (C)",31.04722792607803,18,18,19,3266,7.27,16,17,16,17,3,8750,181,187,20,185,182
ST (C),29.034907597535934,15,16,15,93,6.5,12,12,14,16,10,4850,127,130,17,125,125
GK,28.607802874743328,14,15,15,3926,6.89,13,13,13,10,6,4000,123,135,18,134,127
D/WB (R),28.205338809034906,8,12,14,2345,6.88,11,10,11,12,10,5350,127,140,15,173,126
"M (R), AM (RC), ST (C)",26.379192334017795,8,15,14,1,0.0,14,11,13,14,10,6250,146,151,18,161,143
D (C),28.577686516084874,14,14,13,2888,6.86,11,8,10,14,14,4200,129,129,15,140,129
"D (C), DM, M (C)",27.21423682409309,12,13,12,2870,6.7,13,12,13,12,10,5500,131,135,16,173,133
GK,27.227926078028748,9,13,12,2344,6.84,16,12,12,18,10,3100,115,125,11,130,115
D/WB (L),27.474332648870636,16,14,14,1596,6.68,14,10,15,15,8,5100,130,130,16,161,128
D (RC),27.956194387405887,17,14,16,2639,6.91,16,13,14,12,12,7500,154,156,20,185,153
"M (C), AM (RLC)",27.416837782340863,12,13,13,2042,7.06,12,10,12,15,5,4300,126,128,13,158,126
D (RLC),26.754277891854894,14,12,15,2951,6.83,12,12,12,12,9,5800,136,140,15,173,136
GK,29.475701574264203,17,16,14,3060,6.91,12,14,15,15,10,5750,140,145,15,173,140
D (C),26.754277891854894,15,15,12,2903,6.82,12,13,13,11,4,3900,118,121,14,125,118
D (C),25.4072553045859,14,12,13,2878,6.82,13,13,11,13,6,4500,126,137,14,161,126
"DM, M (C)",26.132785763175907,16,12,14,2048,6.91,12,13,13,13,7,4250,121,130,17,120,122
"DM, M (C)",27.734428473648187,14,13,12,2874,6.93,13,9,12,10,11,3750,125,129,15,161,126
"DM, M (C)",26.401095140314855,15,13,15,3035,6.93,12,12,13,9,15,6150,138,144,16,178,138
D (C),26.439425051334702,14,15,10,77,6.9,11,9,12,8,9,3800,116,120,13,173,116
"DM, M (C)",26.614647501711158,15,15,16,2372,7.19,14,11,14,13,9,6000,142,150,18,161,142
"D (RL), WB/M (R)",24.758384668035593,14,13,14,1038,6.79,12,11,13,13,10,4550,126,136,17,161,127
"M (L), AM (RL), ST (C)",24.030116358658454,16,14,14,3569,6.73,12,8,8,12,9,4800,126,130,17,147,126
D (C),25.023956194387406,14,16,12,3490,6.79,12,11,12,8,10,5050,131,140,15,173,133
D (C),26.428473648186174,15,13,14,2422,6.83,12,13,12,12,10,2700,109,118,10,104,110
D/WB (RL),25.297741273100616,12,14,11,1225,6.7,12,10,11,19,6,2050,101,104,8,110,101
"DM, M (C)",26.132785763175907,12,12,11,2644,6.64,10,11,12,12,11,5000,115,120,12,120,115
D (RC),25.686516084873375,14,12,12,2840,6.71,11,13,12,15,6,4750,123,128,14,161,123
M/AM (C),24.34223134839151,14,13,14,3180,7.08,10,13,11,14,5,5350,131,145,12,173,137
"AM (RL), ST (C)",23.107460643394933,12,11,13,1271,6.8,12,7,12,16,7,5750,140,155,19,173,147
D (C),26.67214236824093,13,14,14,3352,6.97,11,10,11,10,12,4500,113,114,14,147,113
GK,25.571526351813826,17,18,17,3605,7.1,15,14,17,15,8,6500,156,162,19,173,156
"D (C), DM",24.56399726214921,13,11,12,1410,6.61,10,13,10,8,8,3600,112,126,14,125,112
"DM, M (C)",26.48596851471595,15,11,11,2814,6.89,14,9,15,12,9,4200,133,137,16,173,133
M/AM (RL),24.908966461327857,12,14,14,2780,6.71,13,8,11,12,11,5500,132,140,15,173,132
"AM (L), ST (C)",23.813826146475016,13,13,11,2115,7.26,13,12,12,13,10,3050,111,127,13,117,111
"DM, M (C)",24.87337440109514,13,17,14,2803,6.84,11,9,13,10,8,4750,124,130,12,147,124
D/WB/M (L),23.76454483230664,11,12,11,2828,7.05,6,11,11,13,10,3500,100,112,11,96,101
D (C),21.44832306639288,13,11,13,643,6.74,12,11,12,17,12,3850,123,155,14,161,123
"M (RLC), AM (C)",22.209445585215605,10,4,12,6,0.0,13,13,8,19,12,500,75,98,10,85,75
ST (C),20.514715947980836,11,3,12,0,0.0,11,11,8,16,16,500,60,100,15,134,56
"DM, M/AM (C)",20.314852840520192,12,14,12,1415,6.82,11,12,11,10,4,2250,114,135,15,134,114
D/WB (L),20.435318275154003,12,9,13,0,0.0,11,11,8,14,12,1500,65,110,15,134,64
"M (C), AM (RLC)",20.1533196440794,13,12,12,119,6.6,11,11,9,15,9,1500,95,111,15,134,98
D/WB (R),20.213552361396303,11,12,13,2812,6.84,10,9,7,15,7,1250,93,115,6,85,97
D/WB (L),20.82135523613963,15,15,13,146,6.8,10,12,12,8,8,2250,98,126,15,107,98
D (C),20.465434633812457,15,15,10,3270,7.04,12,9,13,17,15,2250,108,140,15,107,120
"DM, M (C)",20.008213552361397,14,13,15,63,6.73,13,14,11,13,6,3000,117,136,20,185,119
M/AM (C),20.78576317590691,15,16,13,421,6.89,10,12,9,11,7,1250,83,103,6,85,84
"AM (RL), ST (C)",20.56125941136208,8,9,11,0,0.0,12,13,10,18,13,1500,86,115,15,134,86
M/AM (RL),19.939767282683093,15,13,11,479,6.58,10,11,11,12,12,2250,113,140,15,134,118
D/WB (L),20.55852156057495,14,14,15,1115,6.66,15,14,11,9,4,1250,80,112,15,130,86
GK,23.1813826146475,11,2,11,1080,6.7,13,12,10,9,10,1650,90,115,10,80,90
"DM, M (C)",25.453798767967147,12,8,12,2902,6.73,5,11,20,10,10,1850,87,90,8,73,87
AM (C),24.5968514715948,9,9,10,24,0.0,9,12,19,7,6,2000,90,105,5,91,88
D (C),21.456536618754278,13,12,15,2927,6.89,7,10,12,12,7,3150,123,149,14,173,126
D (C),20.265571526351813,13,12,13,2753,6.92,13,14,11,12,13,3500,118,141,15,161,119
"DM, M (C)",19.797399041752225,14,14,13,280,6.67,12,13,12,13,5,2500,113,121,10,173,113
"AM (RLC), ST (C)",19.81656399726215,13,16,13,1459,6.54,10,8,12,7,6,2750,124,146,13,173,133
"AM (RLC), ST (C)",19.66324435318275,10,12,12,0,0.0,10,12,12,12,15,3500,108,130,20,185,107
D/WB (R),19.290896646132786,13,14,10,1256,6.8,14,13,11,12,11,900,78,128,15,161,83
M/AM (C),19.655030800821354,9,14,12,0,0.0,11,13,11,20,4,2000,96,134,14,107,100
"D (C), DM, M (C)",17.711156741957563,14,16,11,0,0.0,7,11,9,16,10,1500,69,129,18,185,94
M (C),19.06365503080082,13,14,14,241,6.57,11,12,12,11,5,2500,108,148,14,161,110
"M (C), AM (LC)",19.3347022587269,15,14,16,377,7.11,12,11,11,11,5,2500,100,147,15,117,107
AM (C),18.8911704312115,11,2,13,0,0.0,5,10,10,18,5,1100,89,111,9,80,89
"DM, M (C)",19.26899383983573,14,12,11,0,0.0,10,10,10,11,5,3250,114,161,20,185,115
ST (C),19.43874058863792,12,11,13,294,6.64,15,11,10,12,6,1000,104,127,13,147,108
M/AM (C),19.030800821355236,5,14,14,231,6.64,9,15,8,16,12,2750,103,121,11,147,103
"AM (RL), ST (C)",19.45242984257358,12,14,12,1116,6.96,10,12,10,20,4,4500,120,162,17,161,128
ST (C),19.4031485284052,13,4,10,495,6.6,14,10,8,14,10,1000,80,103,15,161,80
D (C),20.150581793292265,11,10,9,0,0.0,9,8,9,16,6,2000,86,117,15,185,87
D (C),18.171115674195757,12,2,12,0,0.0,4,11,9,13,12,1500,65,107,18,185,75
M/AM (C),19.498973305954827,10,10,11,0,0.0,6,10,8,14,8,900,75,108,14,134,76
ST (C),19.249828884325805,9,10,8,0,0.0,9,8,9,9,13,550,43,78,13,107,44
M (LC),18.748802190280628,12,14,10,0,0.0,12,12,10,18,5,2500,93,122,14,185,96
D (LC),23.62217659137577,11,9,12,2678,6.96,11,12,11,9,7,2500,100,125,11,96,106
AM (RL),23.496235455167692,11,9,10,2327,7.13,13,9,6,12,11,1100,77,96,13,86,84
"D (C), DM, M (C)",23.16221765913758,12,7,9,188,6.87,7,9,13,15,9,1150,76,95,13,86,76
AM (L),21.305954825462013,10,13,10,2129,6.79,11,13,11,16,8,700,69,90,12,86,75
D (C),21.374401095140314,12,7,9,1492,6.71,3,10,12,11,7,1450,84,100,14,86,85
"D (RLC), WB (RL)",19.156741957563312,11,12,10,2457,6.62,2,15,20,15,12,4750,109,147,14,134,122
"D/WB (R), M (C)",21.49486652977413,9,14,11,2186,6.63,10,11,12,12,13,750,70,80,8,86,70
"DM, M (C)",24.21902806297057,11,10,9,1588,6.63,3,11,10,16,7,250,60,79,10,86,63
D/AM (R),23.392197125256672,10,1,10,348,6.56,5,9,9,12,8,450,66,82,9,86,65
"DM, M (C)",19.16495550992471,13,13,16,1521,7.14,7,11,13,13,7,3500,124,149,12,161,136
D (C),20.484599589322382,9,13,11,4296,6.57,5,11,8,13,8,850,65,95,3,46,67
M/AM (C),20.49555099247091,10,15,11,913,6.73,10,12,5,8,8,800,64,116,13,107,80
GK,22.297056810403834,10,4,9,180,6.25,10,12,3,19,10,1000,75,95,11,94,75
AM (L),21.28952772073922,10,14,11,0,0.0,13,8,19,16,7,1500,88,111,13,158,88
D/WB (L),19.485284052019164,11,11,10,0,0.0,9,9,11,17,8,1050,81,137,18,173,83
ST (C),19.5564681724846,13,15,11,1728,6.96,10,14,12,12,3,2750,94,119,8,107,101
D (C),19.175906913073238,11,13,10,0,0.0,6,11,10,9,9,1750,78,100,14,185,83
M (C),19.37577002053388,13,8,13,0,0.0,10,10,5,16,4,1500,70,110,13,185,80
GK,20.57221081451061,11,12,12,0,0.0,12,12,4,12,13,50,57,68,12,86,57
D/WB/M/AM (L),23.457905544147845,12,19,11,2575,6.59,8,12,9,7,6,750,70,85,12,86,71
GK,21.475701574264203,12,9,10,0,0.0,9,11,11,16,8,250,60,84,10,86,60
"M (C), AM (RLC), ST (C)",19.416837782340863,15,14,13,267,6.78,14,15,13,14,5,4650,126,162,16,178,134
"AM (L), ST (C)",19.255304585900067,14,15,14,42,6.4,13,13,12,14,5,1500,88,127,16,173,95
"M (R), AM (RL), ST (C)",19.2580424366872,10,13,11,80,6.95,13,12,10,13,5,2100,100,114,11,160,100
M/AM (RC),18.978781656399725,12,11,12,194,6.74,7,12,10,12,5,750,80,119,17,173,85
"D (R), DM, M (RC)",19.345653661875428,13,14,12,0,0.0,9,13,12,16,5,1000,80,115,16,173,87
ST (C),23.2580424366872,10,15,11,0,0.0,3,11,11,15,7,500,70,86,13,86,72
ST (C),23.419575633127995,10,13,11,430,7.0,10,14,10,9,8,1500,85,115,15,104,88
"D/WB (R), DM, M (C)",19.62217659137577,11,18,10,0,0.0,14,13,9,18,10,2250,86,113,19,185,91
D/WB (L),19.446954140999317,14,15,12,95,6.8,5,11,16,10,6,800,72,97,15,94,77
AM (RL),19.288158795345655,13,12,12,1445,7.08,14,10,7,7,10,4000,125,159,18,160,131
AM (C),21.37987679671458,13,14,13,2253,6.85,3,15,11,12,10,1100,88,113,11,117,88
"D (LC), WB (L)",18.72416153319644,8,13,13,474,6.62,13,9,12,8,9,2250,122,145,16,173,123
ST (C),24.035592060232716,12,16,11,0,0.0,11,12,10,19,12,1250,80,95,12,104,80
"AM (RL), ST (C)",19.49349760438056,13,14,14,3724,6.93,13,14,12,10,3,1750,90,119,12,85,105
"M (L), AM (RL), ST (C)",22.89664613278576,10,10,9,1035,6.82,8,8,9,9,10,3450,95,111,12,140,95
D (C),19.342915811088297,11,17,7,2193,6.94,4,13,18,14,5,1100,72,101,12,85,92
"D (C), DM, M (C)",19.707049965776864,11,3,11,90,6.7,6,15,20,14,6,800,57,74,12,85,57
D/WB (R),19.529089664613277,13,14,14,475,6.76,10,13,12,13,4,2500,104,135,16,134,106
D (C),23.156741957563312,8,13,11,2238,6.74,13,12,13,7,12,1700,89,119,6,86,89
WB/M/AM (L),22.97056810403833,9,3,12,2484,7.02,1,11,12,7,7,1050,82,98,4,66,82
"AM (RL), ST (C)",19.96167008898015,12,4,11,1156,6.67,6,11,5,13,6,2500,105,112,12,110,105
D (RC),21.089664613278575,8,6,10,2434,6.74,3,11,12,11,12,1300,76,112,11,73,88
"D/WB (R), M (C)",19.794661190965094,12,13,13,2186,6.65,8,10,9,9,12,900,68,105,8,73,89
ST (C),22.0041067761807,14,16,11,1061,6.56,10,9,15,9,15,3250,117,131,14,134,117
D (C),18.986995208761122,15,13,11,1305,6.95,11,12,10,16,6,3300,120,143,18,134,121
GK,24.580424366872005,10,11,10,90,8.1,11,10,11,12,5,750,75,85,8,110,75
ST (C),23.718001368925393,10,15,8,262,6.67,10,9,12,10,6,1650,85,95,10,160,85
"AM (RL), ST (C)",18.5927446954141,10,13,11,1268,6.85,17,12,13,11,14,3000,110,142,15,134,115
"AM (RL), ST (C)",25.697467488021903,12,11,14,984,6.86,10,10,13,12,7,500,88,106,7,66,88
"M (L), AM (RL)",25.66461327857632,11,13,11,1403,6.78,12,12,13,19,6,1150,78,86,11,94,78
"DM, M (C)",18.507871321013006,14,13,11,218,6.73,11,11,10,12,8,2250,91,121,17,107,107
GK,18.6694045174538,11,10,9,0,0.0,10,10,18,12,10,1500,70,98,18,185,74
GK,18.50239561943874,11,11,9,90,7.6,8,9,10,7,5,1750,70,105,13,107,81
M/AM (C),18.861054072553046,15,15,16,250,6.98,8,12,11,15,4,3700,114,140,17,173,120
"DM, M (C)",19.496235455167692,13,4,9,9,0.0,15,11,12,20,5,2000,86,127,17,185,93
D (C),19.83025325119781,13,10,9,0,0.0,8,8,9,15,6,1750,75,126,18,185,84
D (C),22.910335386721425,11,13,12,90,6.8,9,10,8,15,9,750,65,75,2,87,68
ST (C),21.204654346338124,12,17,9,2155,6.64,6,11,13,19,5,750,70,95,8,86,72
D/WB/M (L),19.652292950034223,13,16,15,2373,6.78,13,9,12,12,4,4750,130,145,13,185,137
"AM (R), ST (C)",23.619438740588638,8,13,13,696,6.73,9,13,8,7,12,1000,81,100,3,66,81
D (C),19.1129363449692,12,13,12,7,0.0,8,12,12,14,5,1050,84,128,16,120,91
D (C),19.408624229979466,10,12,12,873,6.73,3,11,12,19,5,2250,105,130,14,117,107
D (C),19.342915811088297,12,14,12,0,0.0,14,11,12,14,7,1850,76,123,16,173,85
M (C),19.416837782340863,8,8,8,0,0.0,6,9,9,19,11,500,40,109,6,85,40
"DM, M (C)",19.304585900068446,9,12,13,1784,7.08,4,9,10,9,14,1150,89,109,11,117,89
M (C),19.340177960301162,10,11,12,2190,7.0,5,12,11,19,7,1000,80,114,16,117,87
AM (RL),18.97056810403833,13,14,12,0,0.0,9,10,11,12,10,1250,82,103,15,161,82
"AM (R), ST (C)",19.01163586584531,8,12,8,1016,6.98,15,12,9,19,6,1450,87,126,16,117,90
GK,19.364818617385353,12,12,12,900,6.66,12,12,12,10,7,1750,96,135,15,85,102
D (C),19.718001368925393,13,13,14,3888,6.85,10,10,13,10,12,3500,115,124,15,147,117
"AM (RL), ST (C)",19.811088295687885,11,12,12,2143,6.73,11,11,12,20,13,2500,107,125,11,134,107
D (C),22.647501711156742,10,11,12,2435,6.82,14,12,11,7,9,950,74,95,10,86,74
